source_term	target_term	category	confidence
stirrups	подставки	other_medical	approved
stitch	швы	procedure	approved
stitches	швы	procedure	approved
stomach	желудок	anatomy	approved
stomach pain	боль в желудке	symptom	approved
stomach problems	желудочные проблемы	symptom	approved
stomach spasms	судороги в области живота	symptom	approved
stomach surgery	операция на животе	procedure	approved
stomachaches	боли в животе	symptom	approved
stool	кал	other_medical	approved
stool	стул	symptom	approved
stool sample	анализ стула	test	approved
stool softener	размягчитель стула	medication	approved
stool softener	слабительное	medication	approved
stool softener	смягчитель стула	medication	approved
stool test	анализ кала	test	approved
stooped posture	сутулость	symptom	approved
straight leg raise	подъем прямой ноги	procedure	approved
straining	напряжение при дефекации	symptom	approved
strep throat	стрептококковая инфекция	diagnosis	approved
stress	стресс	symptom	approved
stress echo	стресс-эхокардиография	test	approved
stress echocardiogram	стресс-эхокардиография	test	approved
stress incontinence	стрессовое недержание	diagnosis	approved
stress muga	радионуклидная ангиография с нагрузкой	test	approved
stress test	нагрузочный тест	test	approved
stroke	инсульт	diagnosis	approved
stuffy nose	заложенность носа	symptom	approved
subarachnoid hemorrhage	субарахноидальное кровоизлияние	diagnosis	approved
subcutaneous injection	инъекция под кожу	procedure	approved
subcutaneous injection	подкожная инъекция	procedure	approved
subcutaneous injection	подкожный укол	procedure	approved
subdural hematoma	субдуральная гематома	diagnosis	approved
sucking reflex	сосательный рефлекс	other_medical	approved
sucralose	сукралоза	medication	approved
sudden infant death syndrome	синдром внезапной детской смерти	diagnosis	approved
sudden urge to urinate	внезапный позыв к мочеиспусканию	symptom	approved
suffocate	задохнуться	other_medical	approved
suffocation	удушье	symptom	approved
sugar free gum	жевательная резинка без сахара	other_medical	approved
suicidal thoughts	мысли о самоубийстве	symptom	approved
sulfa	сульфамидные препараты	medication	approved
sunscreen	солнцезащитный крем	medication	approved
support group	группа поддержки	procedure	approved
surgery	операция	procedure	approved
surgery	хирургическая операция	procedure	approved
surgery	хирургическое вмешательство	procedure	approved
swallowing check	проверка глотания	procedure	approved
swallowing problem	проблемы с глотанием	symptom	approved
swallowing problems	затрудненное глотание	symptom	approved
swallowing problems	проблемы глотания	symptom	approved
swallowing problems	проблемы с глотанием	symptom	approved
sweating	повышенное потоотделение	symptom	approved
sweating	потоотделение	symptom	approved
sweating	усиленное потоотделение	symptom	approved
sweats	потоотделение	symptom	approved
swelling	опухание	symptom	approved
swelling	опухоль	symptom	approved
swelling	отек	symptom	approved
swelling	отечность	symptom	approved
swelling	припухлость	symptom	approved
swelling in the body	опухание частей тела	symptom	approved
swelling of neck or face	отек шеи или лица	symptom	approved
swollen	припухлость	symptom	approved
swollen breasts	припухание молочных желез	symptom	approved
swollen eyes	припухлость век	symptom	approved
swollen gums	припухлость десен	symptom	approved
swollen lymph glands	увеличение лимфоузлов	symptom	approved
syphilis	сифилис	diagnosis	approved
syringe	шприц	other_medical	approved
systolic reading	систолическое давление	test	approved
tailbone	копчик	anatomy	approved
targeted therapy	таргетная терапия	procedure	approved
taste and smell changes	изменения вкусовых ощущений и обоняния	symptom	approved
tb	тб	diagnosis	approved
teaspoon	чайная ложка	other_medical	approved
teeth	зубы	anatomy	approved
teething	прорезывание зубов	symptom	approved
teething ring	кольцо для прорезывания зубов	other_medical	approved
temperature changes	изменение температуры	symptom	approved
temporal lobe	височная доля	anatomy	approved
temporal temperature	лобная температура	test	approved
tender	побаливает	symptom	approved
tender gums	кровоточивость десен	symptom	approved
tender lymph glands	болезненные лимфоузлы	symptom	approved
tenderness	болезненность	symptom	approved
tenderness	болезненные ощущения	symptom	approved
tension headache	головная боль напряжения	symptom	approved
test results	результаты исследования	test	approved
test strips	тест-полоски	test	approved
testosterone creams	крем с тестостероном	medication	approved
tetanus	столбняк	diagnosis	approved
tetanus vaccine	прививка от столбняка	medication	approved
therapy	психологическое лечение	procedure	approved
thick mucus	плотная мокрота	symptom	approved
thighs	бедра	anatomy	approved
thinning bones	истончение костей	symptom	approved
thirst	жажда	symptom	approved
thoracic curve	грудной изгиб	anatomy	approved
throat injury	травма горла	diagnosis	approved
throat muscles	мышцы глотки	anatomy	approved
throat swab	мазок задней стенки горла	test	approved
throbbing headache	пульсирующая головная боль	symptom	approved
throbbing pain	пульсирующая боль	symptom	approved
throwing up	рвота	symptom	approved
thumb	большой палец	anatomy	approved
thyroid disease	заболевания щитовидной железы	diagnosis	approved
thyroid gland	щитовидная железа	anatomy	approved
thyroid level	функция щитовидной железы	anatomy	approved
thyroid medicine	лекарства для щитовидной железы	medication	approved
thyroid scan	тиреосцинтиграфия	test	approved
thyroid ultrasound	узи щитовидной железы	test	approved
tia	тиа	diagnosis	approved
tibia	большая берцовая кость	anatomy	approved
tingle	покалывать	symptom	approved
tingling	покалывание	symptom	approved
tingling	пощипывание	symptom	approved
tiredness	ощущение усталости	symptom	approved
tiredness	усталость	symptom	approved
tiredness	чувство усталости	symptom	approved
tissue	ткань	anatomy	approved
tissue biopsy	кусочек ткани для анализа	procedure	approved
tissue samples	образцы ткани	test	approved
tobacco free life	жизнь без табака	other_medical	approved
toe curls	хватание пальцами ног	procedure	approved
toe raises	поднятие пальцев ног	procedure	approved
toenails	ногти на ножках	anatomy	approved
toes	пальцы ноги	anatomy	approved
tongue	язык	anatomy	approved
tongue base	корень языка	anatomy	approved
tongue blade	депрессор языка	other_medical	approved
tongue stretch	вытягивание языка	procedure	approved
tongue swelling	отек языка	symptom	approved
tooth decay	кариес	diagnosis	approved
topical medicine	местное лекарство	medication	approved
total cholesterol blood level	общий уровень холестерина в крови	test	approved
total hip replacement	полная замена тазобедренного сустава	procedure	approved
total knee replacement	полная замена коленного сустава	procedure	approved
touch down weight bearing	касательная нагрузка	procedure	approved
toxic chemicals	токсичные химические вещества	other_medical	approved
tracer	контрастное вещество	medication	approved
trachea	трахея	anatomy	approved
tracheostomy	трахеостомия	procedure	approved
transducer	датчик	other_medical	approved
transesophageal echocardiography	чреспищеводная эхокардиография	test	approved
transient ischemic attack	транзиторная ишемическая атака	diagnosis	approved
transition	переходная фаза	procedure	approved
transplantation	трансплантация	procedure	approved
transverse abdominis	поперечная мышца живота	anatomy	approved
traumatic brain injury	черепно-мозговая травма	diagnosis	approved
treadmill	беговая дорожка	other_medical	approved
treadmill	бегущая дорожка	procedure	approved
tremor	тремор	symptom	approved
trichomoniasis	трихомонадный вагинит	diagnosis	approved
triglyceride blood level	уровень триглицеридов в крови	test	approved
triglycerides	триглицериды	test	approved
triglycerides test	анализ на триглицериды	test	approved
trouble breathing	затруднение дыхания	symptom	approved
trouble breathing	затрудненное дыхание	symptom	approved
trouble breathing	проблемы с дыханием	symptom	approved
trouble breathing	трудно дышать	symptom	approved
trouble breathing	трудность дыхания	symptom	approved
trouble falling asleep	трудности с засыпанием	symptom	approved
trouble seeing	проблемы со зрением	symptom	approved
trouble sleeping	проблемы со сном	symptom	approved
trouble speaking	затруднение речи	symptom	approved
trouble staying asleep	трудности с пребыванием в состоянии сна	symptom	approved
trouble staying awake	проблемы с бодрствованием	symptom	approved
trouble swallowing	затруднение глотания	symptom	approved
trouble swallowing	проблемы с глотанием	symptom	approved
trouble walking	проблемы при хождении	symptom	approved
true labor	истинные схватки	symptom	approved
tub bath	купание в ванне	procedure	approved
tube	трубка	other_medical	approved
tuberculosis	туберкулез	diagnosis	approved
tummy time	время на животике	other_medical	approved
tummy time	положение на животе	procedure	approved
tumor	опухоль	anatomy	approved
tumors	опухоли	anatomy	approved
tunnel vision	туннельное зрение	symptom	approved
twitching movements	спазмы мускулов	symptom	approved
tympanic temperature	ушная температура	test	approved
type 1 diabetes	диабет 1 типа	diagnosis	approved
type 1 diabetes	диабет 1-го типа	diagnosis	approved
type 2 diabetes	диабет 2-го типа	diagnosis	approved
type 2 diabetes	диабет типа 2	diagnosis	approved
ulcerative colitis	язвенный колит	diagnosis	approved
ulcers	язвочки	symptom	approved
ulcers	язвы	symptom	approved
ultrasound	узи	test	approved
ultrasound	ультразвук	test	approved
ultrasound	ультразвуковое исследование	test	approved
ultrasound	ультразвуковое обследование	test	approved
umbilical cord	пуповина	anatomy	approved
umbilical cord	пупочный остаток	anatomy	approved
unconsciousness	бессознательное состояние	symptom	approved
unconsciousness	потеря сознания	symptom	approved
uncontrolled changes in brain activity	неконтролируемые изменения активности мозга	symptom	approved
upper arm	предплечье	anatomy	approved
upper endoscopy	эндоскопия верхних отделов	test	approved
upper endoscopy	эндоскопия верхних отделов жкт	procedure	approved
upper right abdominal pain	боль в верхней правой части живота	symptom	approved
ureter	мочеиспускательный канал	anatomy	approved
urethra	уретра	anatomy	approved
urge incontinence	ургентное недержание	diagnosis	approved
urge to urinate	частые позывы к мочеиспусканию	symptom	approved
urinary frequency	частое мочеиспускание	symptom	approved
urinary incontinence	недержание мочи	diagnosis	approved
urinary tract infection	инфекция мочевыводящих путей	diagnosis	approved
urinary tract infection	инфекция мочеиспускательного канала	diagnosis	approved
urinary urgency	внезапные позывы к мочеиспусканию	symptom	approved
urinate often	частое мочеиспускание	symptom	approved
urinating	мочеиспускание	other_medical	approved
urinating problems	проблемы с мочеиспусканием	symptom	approved
urination	мочеиспускание	other_medical	approved
urine	моча	anatomy	approved
urine leakage	вытекание мочи	symptom	approved
urine sample	анализ мочи	test	approved
urine sample	образец мочи	test	approved
urine test	анализ мочи	test	approved
urine test for protein	анализ мочи на белок	test	approved
urine tests	анализы мочи	test	approved
uterine contractions	сокращения матки	symptom	approved
uterine cramping	судороги матки	symptom	approved
uterus	матка	anatomy	approved
uti	имп	diagnosis	approved
vaccinations	прививки	procedure	approved
vaccine	вакцина	medication	approved
vaccine injection	укол прививки	procedure	approved
vaccines	вакцины	medication	approved
vaccines	прививки	procedure	approved
vagina	влагалище	anatomy	approved
vaginal atrophy	атрофия влагалища	diagnosis	approved
vaginal birth	вагинальные роды	procedure	approved
vaginal bleeding	вагинальное кровотечение	symptom	approved
vaginal bleeding	кровянистые выделения из влагалища	symptom	approved
vaginal burning	жжение около влагалища	symptom	approved
vaginal delivery	влагалищное родоразрешение	procedure	approved
vaginal discharge	влагалищные выделения	symptom	approved
vaginal discharge	выделения	symptom	approved
vaginal discharge	выделения из влагалища	symptom	approved
vaginal dryness	вагинальная сухость	symptom	approved
vaginal dryness	сухость влагалища	symptom	approved
vaginal estrogen therapy	локальная терапия эстрогенами	procedure	approved
vaginal infection	вагинальная инфекция	diagnosis	approved
vaginal infections	вагинальные инфекции	diagnosis	approved
vaginal itching	зуд влагалища	symptom	approved
vaginal itching	зуд во влагалище	symptom	approved
vaginal itching	зуд около влагалища	symptom	approved
vaginal sores	язвы около влагалища	symptom	approved
vaginal warts	бородавки около влагалища	symptom	approved
vaginitis	вагинит	diagnosis	approved
vaporizer	испаритель	other_medical	approved
varicella	ветряная оспа	diagnosis	approved
varicella antibodies	антитела к ветряной оспе	test	approved
vascular dementia	васкулярная деменция	diagnosis	approved
venlafaxine	венлафаксин	medication	approved
vertebrae	позвонки	anatomy	approved
viral infection	вирусная инфекция	diagnosis	approved
virus	вирусы	other_medical	approved
viruses	вирусы	other_medical	approved
vision changes	изменения зрения	symptom	approved
vision loss	потеря зрения	symptom	approved
vision problems	проблемы со зрением	symptom	approved
vision test	зрительный тест	test	approved
vitamin a	витамин a	medication	approved
vitamin a	витамин а	medication	approved
vitamin b complex	витамины группы в	medication	approved
vitamin b6	витамин b6	medication	approved
vitamin c	витамин с	medication	approved
vitamin d	витамин d	medication	approved
vitamin d deficiency	дефицит витамина d	diagnosis	approved
vitamin d supplement	препарат витамина d	medication	approved
vitamin e	витамин е	medication	approved
vitamins	витамины	medication	approved
vomit	рвота	symptom	approved
vomiting	рвота	symptom	approved
vomiting blood	рвота с кровью	symptom	approved
vp shunt	вентрикуло-перитонеальный шунт	other_medical	approved
walker	ходунки	other_medical	approved
wall slide	приседания с упором на стену	procedure	approved
wall slide	скольжение по стене	procedure	approved
warfarin	варфарин	medication	approved
warm compress	теплый компресс	procedure	approved
warm flush	ощущение жара	symptom	approved
warm up	разминка	procedure	approved
warmth	жжение	symptom	approved
warmth	повышение температуры	symptom	approved
warmth around joint	ощущение тепла около сустава	symptom	approved
water breaks	отход вод	symptom	approved
water-based lubricants	гели-смазки на водной основе	medication	approved
watery eyes	слезотечение	symptom	approved
watery eyes	слезящиеся глаза	symptom	approved
weak	слабость	symptom	approved
weak cough	слабый кашель	symptom	approved
weak immune system	слабый иммунитет	symptom	approved
weak leg	ослабленная ног	anatomy	approved
weak leg	ослабленная нога	symptom	approved
weak pulse	слабый пульс	symptom	approved
weakened immune system	ослабленная иммунная система	symptom	approved
weakness	слабость	symptom	approved
weakness in leg	слабость в ногах	symptom	approved
weight bearing	нагрузка на ногу	procedure	approved
weight gain	набор веса	symptom	approved
weight gain	увеличение веса	symptom	approved
weight loss	потеря веса	symptom	approved
weight loss	похудение	other_medical	approved
weight loss	снижение веса	other_medical	approved
weight loss or gain	похудение или увеличение веса	symptom	approved
wet diapers	мокрые подгузники	test	approved
wet diapers	мочеиспускание	symptom	approved
wet diapers	мочеиспускания	other_medical	approved
wheat bran	пшеничные отруби	other_medical	approved
wheezing	свистящее дыхание	symptom	approved
wheezing	хрипы	symptom	approved
whistling	свист	symptom	approved
white blood cell count	уровень лейкоцитов	test	approved
white blood cells	белые кровяные клетки	anatomy	approved
white patches in the throat	белые бляшки в горле	symptom	approved
whole grain breads	хлеб из необработанного зерна	other_medical	approved
wireless capsule monitor	капсульная эндоскопия	procedure	approved
withdrawal symptoms	симптомы абстиненции	symptom	approved
worn cartilage	износившийся хрящ	symptom	approved
wound	рана	symptom	approved
wound drainage	выделения из области раны	symptom	approved
wound healing	заживление раны	procedure	approved
wrist	запястье	anatomy	approved
wrist flexion and extension	сгибание и разгибание запястья	procedure	approved
wrist rotation	вращение запястья	procedure	approved
x-ray	рентген	test	approved
x-ray	рентгеновский снимок	test	approved
x-ray pictures	рентгеновские снимки	test	approved
x-ray table	рентгеновский стол	other_medical	approved
x-ray test	рентгеновское исследование	test	approved
x-rays	рентген	test	approved
x-rays	рентгеновские снимки	test	approved
yeast infection	дрожжевая инфекция	diagnosis	approved
yeast infection	молочница	diagnosis	approved
yellow eyes	желтые глаза	symptom	approved
yellow fever	жёлтая лихорадка	diagnosis	approved
yellow mucus	желтая мокрота	symptom	approved
yellow or green mucus	желтая или зеленая мокрота	symptom	approved
yellow skin	желтая кожа	symptom	approved
yellowing of skin and eyes	окрашенность кожи и белков глаз в желтый цвет	symptom	approved
zinc	цинк	medication	approved
