RU	EN	Category
wrist flexion and extension	сгибание и разгибание запястья	procedure
wrist rotation	вращение запястья	procedure
x-ray	рентген	test
x-ray	рентгеновский снимок	test
x-ray pictures	рентгеновские снимки	test
x-ray table	рентгеновский стол	other_medical
x-ray test	рентгеновское исследование	test
x-rays	рентген	test
x-rays	рентгеновские снимки	test
yeast infection	дрожжевая инфекция	diagnosis
yeast infection	молочница	diagnosis
yellow eyes	желтые глаза	symptom
yellow fever	жёлтая лихорадка	diagnosis
yellow mucus	желтая мокрота	symptom
yellow or green mucus	желтая или зеленая мокрота	symptom
yellow skin	желтая кожа	symptom
yellowing of skin and eyes	окрашенность кожи и белков глаз в желтый цвет	symptom
zinc	цинк	medication
