# label: Wikidata — болезни (ICD-10) и лекарства (ATC)
# lang: RU→EN
# domains: medical, pharma
# tier: auto
# Собрано backend/authority_data/fetch_wikidata.py.
# Только однозначные в обе стороны пары: если у термина нашлось
# несколько соответствий, он выброшен — приказ не может быть
# двусмысленным, такие термины решает человек.
(+)-псевдоэфедрин	(+)-pseudoephedrine
синдром Клейне — Левина	Kleine-Levin syndrome
синдром Клювера — Бьюси	Klüver–Bucy syndrome
Синдром короткой кишки	short bowel syndrome
синдром Корсакова	Korsakoff's syndrome
Синдром кошачьего глаза	cat eye syndrome
Синдром Лайелла	toxic epidermal necrolysis
Синдром Ландау — Клеффнера	Landau–Kleffner syndrome
синдром лекарственной волчанки	drug-induced lupus erythematosus
Синдром Леннокса-Гасто	Lennox-Gastaut sindrome
Синдром Лиддла	Liddle syndrome
Синдром лизиса опухоли	tumor lysis syndrome
синдром лобной доли	frontal lobe disorder
Синдром Лоуренса — Муна	Laurence-Moon syndrome
синдром Мак-Кьюна — Олбрайта	McCune–Albright syndrome
Синдром Макла — Уэльса	Muckle-Wells syndrome
Синдром Маллори — Вейсса	Mallory–Weiss syndrome
Синдром Марото — Лами	mucopolysaccharidosis VI
Синдром Мартина — Белл	fragile X syndrome
Синдром Мей-Тернера	May–Thurner syndrome
Синдром Мейжа	Meige syndrome
Синдром Мориака	Mauriac syndrome
Синдром нерасчёсываемых волос	uncombable hair syndrome
Синдром Нетертона	Netherton syndrome
Синдром нечувствительности к андрогенам	androgen insensitivity syndrome
Синдром нижней полой вены	Inferior vena cava syndrome
синдром отмены бензодиазепина	benzodiazepine withdrawal syndrome
Синдром Парино	Parinaud's syndrome
Синдром Педжета — Шрёттера	Paget–Schroetter disease
Синдром персистирующих мюллеровых протоков	persistent Müllerian duct syndrome
синдром подвздошно-большеберцового тракта	Iliotibial band syndrome
Синдром подключичного обкрадывания	subclavian steal syndrome
синдром поликистозных яичников	polyendocrine metabolic ovarian syndrome
синдром раннего детского аутизма	classic autism
Синдром Рейтера	Reiter disease
Синдром Рейфенштейна	partial androgen insensitivity syndrome
Синдром Робена	Pierre Robin syndrome
Синдром Ротора	Rotor syndrome
синдром Сандхоффа	Sandhoff disease
Синдром Свита	febrile neutrophilic dermatosis
синдром снеддона	Sneddon syndrome
Синдром Стиклера	Stickler syndrome
Синдром Суайра	XY gonadal dysgenesis
Синдром Терсона	Terson syndrome
синдром Туретта	Tourette syndrome
синдром Уивера	Weaver syndrome
синдром усталости	malaise and fatigue
Синдром фокамелии	phocomelia
синдром Фреголи	Fregoli delusion
Синдром Хьюза — Стовина	Hughes-Stovin syndrome
синдром чрезмерного роста	overgrowth syndrome
синдром чрезмерного роста Косаки	Kosaki overgrowth syndrome
Синдром Шерешевского — Тёрнера	Turner syndrome
Синдром Шмидта	autoimmune polyendocrine syndrome type 2
синефрин	oxedrine
Синехии половых губ	Labial fusion
Синехии радужной оболочки	synechia
Синовит	synovitis
синтанол	polidocanol
сиреномелия	sirenomelia
Сирингомиелия	syringomyelia
сиролимус	sirolimus
системная склеродермия	scleroderma
ситаглиптин	sitagliptin
Скарабиаз	scarabiasis
Склеродактилия	sclerodactyly
склерома	rhinoscleroma
Скорпионизм	scorpion sting
скрофулодермия	scrofuloderma
слуховая галлюцинация	auditory hallucination
смертная казнь	execution
смерть мозга	brain death
смешанное состояние	mixed affective state
смешанные расстройства личности	mixed personality disorders
Снарядный шок	shell shock
снотворные и седативные средства	hypnotics and sedatives
Содоку	sodoku
соединение ртути	mercury compound
соединения кальция	calcium compounds
соединения селена	selenium compounds
соединения серы	sulfur compound
Солифенацин	solifenacin succinate
солнечный ожог	sunburn
солнечный удар	heat stroke
соляная кислота	hydrochloric acid
соматоформное расстройство	somatic symptom disorder
сомнамбулизм	sleepwalking
сонливость	somnolence
сорафениб	sorafenib
соталол	sotalol
сотрясение мозга	concussion
софосбувир	sofosbuvir
спазм	spasm
спарфлоксацин	sparfloxacin
Спастическая кривошея	cervical dystonia
спастичность	spasticity
специфическое расстройство развития	specific developmental disorder
спинальная мышечная атрофия	spinal muscular atrophies
спинная сухотка	tabes dorsalis
Спиноцеребеллярная атаксия	spinocerebellar ataxia
Спирамицин	spiramycin
спиронолактон	spironolactone
спирохетная инфекция	spirochetal diseases
спленомегалия	splenomegaly
спондилёз	spondylosis
спонтанный разрыв пищевода	Boerhaave syndrome
ссадина	skin abrasion
Ставудин	stavudine
Станозолол	stanozolol
Стафилококковый менингит	staphylococcal meningitis
стафюлекс	flucloxacillin
Стеатогепатит	steatohepatitis
Стеатоз	steatosis
стеаторрея	steatorrhea
Стеноз митрального клапана	mitral valve stenosis
стеноз пищевода	esophageal stricture
Стеноз сонной артерии	carotid artery stenosis
Стеноз трахеи	tracheal stenosis
стенокардия	angina pectoris
стенокардия Принцметала	Prinzmetal's angina
стереотипные двигательные расстройства	stereotypic movement disorder
Стимулирующие ЦНС вещества	psychoanaleptic
стимуляторный психоз	stimulant psychosis
стираемость зубов	dental attrition
столкновение с поездом	railway accident by collision
стоматит	stomatitis
Стрептодорназа	deoxyribonuclease
Стрептозотоцин	α-streptozocin
стрептокиназа	streptokinase
стрептококковый фарингит	streptococcal pharyngitis
стрептомицин	streptomycin
стрессовый перелом	stress fracture
Стридор	stridor
Стрии	stretch marks
Стриктура мочеиспускательного канала	urethral stricture
ступор	stupor
субарахноидальное кровоизлияние	subarachnoid hemorrhage
Субдуральная гематома	subdural hematoma
Субконъюнктивальное кровоизлияние	subconjunctival hemorrhage
Суворексант	suvorexant
Суглат (ипраглифлозин)	ipragliflozin
судорога	muscle cramp
суицидальная идеация	suicidal ideation
сукцинилхолин	succinylcholine
Сукцинимид	succinimide
сулиндак	sulindac
Сульбутиамин	sulbutiamine
сульпирид	(RS)-sulpiride
Сультоприд	sultopride
Сульфагуанидин	sulfaguanidine
Сульфадиазин натрий	sulfadiazine
сульфадиметоксин	sulfadimethoxine
Сульфаниламид	sulfanilamide
Сульфаниламиды	sulfonamide drug
Сульфапиридин	sulfapyridine
сульфасалазин	sulfasalazine
сульфат магния	magnesium sulfate
сульфат натрия	sodium sulfate
сульфат цинка	zinc sulfate
сульфацетамид	sulfacetamide
Сульфинпиразон	sulfinpyrazone
сульфонилмочевина	sulfonylurea
суматриптан	sumatriptan
сунитиниб	sunitinib
суправентрикулярная тахикардия	supraventricular tachycardia
сусто	susto
суфентанил	sufentanil
сухая мозоль	callus
Сухой кератоконъюнктивит	keratoconjunctivitis sicca
Схватки Брэкстона-Хикса	Braxton Hicks contraction
Сывороточная болезнь	serum sickness
сыпь	rash
тадалафил	tadalafil
Тазобактам	tazobactam
Тазовое предлежание	breech presentation
тайдзин кёфусё	taijin kyofusho
такрин	tacrine
такролимус	tacrolimus
талассемия	thalassemia
талиглюцераза альфа	taliglucerase alfa
талидомид	thalidomide
Талинолол	talinolol
тамоксифен	tamoxifen
тамсулозин	tamsulosin
Тапентадол	tapentadol
Тафлупрост	tafluprost
Тахикардия желудочков	ventricular tachycardia
тахипноэ	tachypnea
тегафур	(RS)-tegafur
Тедизолид	tedizolid
тезаморелин	tesamorelin
Телапревир	telaprevir
Телеангиоэктазия	telangiectasia
телитромицин	telithromycin
телмисартан	telmisartan
Телязиоз	thelaziasis
темазепам	temazepam
темозоломид	temozolomide
Темпалгин	Tempalgin
темсиролимус	temsirolimus
тендинит	tendinopathy
тендовагинит	tenosynovitis
тенезмы	rectal tenesmus
тенектеплаза	tenecteplase
тениаринхоз	Taeniasis saginata
Тенипозид	teniposide
теноксикам	tenoxicam
Тенофовир	tenofovir disoproxil
Тенофовир алафенамид	tenofovir alafenamide
Тенофовир/эмтрицитабин	tenofovir/emtricitabine
теобромин	theobromine
теофиллин	theophylline
Тепловой удар	heat illness
Тератома	teratoma
тербинафин	terbinafine
тербуталин	terbutaline
Теризидон	terizidone
Терифлуномид	teriflunomide
терлипрессин	terlipressin
тестостерон	testosterone
тетания	tetany
тетрабеназин	tetrabenazine
тетраборат натрия	borax
тетрагидробиоптерин	sapropterin
тетрагидроканнабинол	tetrahydrocannabinol
тетракаин	tetracaine
Тетракозактид	cosyntropin
Тетраметилтиурамдисульфид	thiram
Тетрасиликат магния	magnesium silicate
тетрасомия	tetrasomy
тетрациклин	tetracycline
тетрациклины	tetracycline antibiotic
Тетризолин	tetrahydrozoline
Тиабендазол	thiabendazole
Тиагабин	tiagabine
тиазиды	thiazide
тиазолидиндион	2,4-thiazolidinedione
тиамин	thiamine(1+) ion
тианептин	(±)-tianeptine
Тиаприд	tiapride
тизанидин	tizanidine
Тилдракизумаб	tildrakizumab
Тилидин	rac-tilidine
Тилорон	tilorone
тилудроновая кислота	tiludronic acid
тимома	thymoma
Тинидазол	tinidazole
тиннитус	tinnitus
тиогуанин	6-thioguanine
Тиопроперазин	thioproperazine
тиоридазин	thioridazine
тиосульфат натрия	sodium thiosulfate
тиотиксен	(Z)-thiothixene
тиотропия бромид	tiotropium
типранавир	tipranavir
Тиреоидит де Кервена	De Quervain's thyroiditis
Тиреоидит Риделя	Riedel's fibrosing thyroiditis
тиреоидный гормон	thyroid hormone
Тиреотоксический периодический паралич	Thyrotoxic periodic paralysis
Тиреотропный гормон	thyroid-stimulating hormone
Тирзепатид	tirzepatide
тиролиберин	thyrotropin-releasing hormone
тирофибан	tirofiban
Тисабри	natalizumab
Тиэтилперазин	thiethylperazine
тобрамицин	tobramycin
Токсидермия	drug eruption
токсикология этанола	long-term effects of alcohol consumption
токсикомания	non-controlled substance abuse
Токсическая аденома щитовидной железы	Toxic multinodular goitre
токсический синовит	transient synovitis of hip
токсичность меди	copper toxicity
токсичность парацетамола	paracetamol toxicity
токсичность толуола	toluene toxicity
токсичность фтора	fluoride toxicity
токсоплазмоз	toxoplasmosis
токсоплазмотическая пневмония	Toxoplasma pneumonia
толметин	tolmetin
Толперизон	tolperisone
толфенамовая кислота	tolfenamic acid
топирамат	topiramate
Топотекан	topotecan
торемифен	(Z)-Toremifene
Торсионная дистония	torsion dystonia
тотальная алопеция	alopecia totalis
тофацитиниб	tofacitinib
Тофизопам	tofisopam
тоцилизумаб	tocilizumab
травма	injury
травма головного мозга	brain injury
травма кожи	skin trauma
травма колена	knee injury
травма шеи	neck injury
травматическая ампутация	traumatic amputation
травопрост	travoprost
тразодон	trazodone
тракционная алопеция	traction alopecia
трамадол	tramadol
транексамовая кислота	tranexamic acid
Транзиторная глобальная амнезия	transient global amnesia
Транзиторный акантолитический дерматоз Гровера	Transient acantholytic dermatosis
транилципромин	tranylcypromine
транс	trance
трансамины	elevated transaminases
трансвестизм двойной роли	dual-role transvestism
трансмиссивная губчатая энцефалопатия	transmissible spongiform encephalopathy
Транспозиция магистральных сосудов	transposition of great vessels
транспортная авария	transport collision
транссексуальность	transsexualism
Траншейная стопа	trench foot
Трастузумаб	trastuzumab
Трастузумаб эмтанзин	ado-trastuzumab emtansine
тревога	anxiety
Тревожная депрессия	mixed anxiety-depressive disorder
тревожное расстройство личности	avoidant personality disorder
тремор	tremor
Треосульфан	treosulfan
Трепетание предсердий	atrial flutter
третиноин	tretinoin
Трещина заднего прохода	anal fissure
трещины сосков	cracked nipple
Триазолам	triazolam
триамцинолон	triamcinolone
тригексифенидил	trihexyphenidyl
тризм	trismus
Триклабендазол	triclabendazole
Триклозан	triclosan
Тримебутин	trimebutine
Триметадион	trimethadione
Триметазидин	trimetazidine
триметиламинурия	trimethylaminuria
триметоприм	trimethoprim
тримипрамин	trimipramine
Трипсин	trypsin
Трипторелин	triptorelin
триптофан	tryptophan
трисомия	trisomy
Трисомия по Х-хромосоме	triple X syndrome
Трифаротен	trifarotene
трифлуоперазин	trifluoperazine
Трифлуперидол	trifluperidol
трифлупромазин	triflupromazine
Трихиаз	trichiasis
Трихлорэтилен	trichloroethene
трихотилломания	trichotillomania
трихофагия	trichophagia
Трихофития	tinea capitis vale
триэтаноламин	trolamine
Триэтилентетрамин	triethylenetetramine
тровафлоксацин	trovafloxacin
Тройной синдром	triple-A syndrome
Троксерутин	Troxerutin
Тромантадин	tromantadine
Тромбидиаз	trombiculiasis
Тромбин	Coagulation factor II, thrombin
тромбоз	thrombosis
Тромбоз глубоких вен	deep vein thrombosis
Тромбоз кавернозного синуса	cavernous sinus thrombosis
тромбоцит	platelet
Тромбоэндокардит	marantic endocarditis
тропикамид	tropicamide
Трописетрон	tropisetron
трофическая язва	venous ulcer
Трофосфамид	trofosfamide
туберкулёз	tuberculosis
туберкулёз кишечника	intestinal tuberculosis
Туберкулёзный коксит	tuberculous arthritis
туберкулёзный менингит	tuberculous meningitis
Туберкулин	tuberculin
Тубокурарина хлорид	tubocurarine
Тубулопатии	tubulopathy
туляремия	tularemia
Тяжёлый комбинированный иммунодефицит	severe combined immunodeficiency
тяжёлый острый респираторный синдром	severe acute respiratory syndrome
Уабаин	ouabain
удар молнии	lightning strike
удвоение матки	uterus didelphys
Уденафил	udenafil
удушение инертным газом	inert gas asphyxiation
Удушье дымом	smoke inhalation injury
ужаления и укусы насекомых	insect-inflicted wound
узловой зоб	thyroid nodule
укамаиринек	soul wandering
уксусная кислота	acetic acid
укус	animal bite
Укус паука	spider bite
Укусы многоножек	centipede bite
Укусы членистоногих	arthropod bites and stings
Улипристала ацетат	ulipristal acetate
ультракаин	articaine
умифеновир	umifenovir
умственная отсталость	intellectual disability
Ундециленовая кислота	undecylenic acid
урамустин	uracil mustard
Урапидил	urapidil
Уретаны	carbamate
Уретероцеле	ureterocele
урогенитальное новообразование	urogenital neoplasm
Урокиназный активатор плазминогена	Plasminogen activator, urokinase
урологическая болезнь	urinary system disease
урологический симптом	urological symptom
Урофоллитропин	urofollitropin
Урсодезоксихолевая кислота	ursodiol
Устекинумаб	ustekinumab
устойчивость к антибиотикам	antibiotic resistance
Устойчивость к антимикотикам	antifungal drug resistance
утеротоник	uterotonic
утопление	drowning
утренняя болезнь	morning sickness
уфуфуянэ	ufufuyane
Ушиб	bruise
ушиб головного мозга	cerebral contusion
Фабомитозол	fabomotizole
Фавипиравир	favipiravir
Факоматозы	phakomatosis
фактор фон Виллебранда	Von Willebrand factor
фамотидин	famotidine
фамцикловир	famciclovir
фантомная боль	phantom pain
Фантомная конечность	phantom limb
Фаринголарингеальный рефлюкс	Laryngopharyngeal reflux
Фасудил	fasudil
фасцикуляция	fasciculation
фатальная семейная бессонница	fatal familial insomnia
Фебрильная нейтропения	febrile neutropenia
Фебрильные судороги	febrile seizure
Фезотеродин	fesoterodine
Фекалит	fecolith
фексофенадин	fexofenadine
Фелбамат	felbamate
феназон	antipyrine
Феназопиридин	phenazopyridine
фенацетин	phenacetin
фенелзин	phenelzine
Фенетиллин	fenethylline
фенилбутазон	phenylbutazone
фенилкетонурия	phenylketonuria
Фенилпропаноламин	(±)-norephedrine
фенилэфрин	phenylephrine
фенитоин	phenytoin
фенобарбитал	phenobarbital
феноксиметилпенициллин	penicillin v
фенол	phenol
феноловый красный	phenolsulfonphthalein
фенолфталеин	phenolphthalein
фенопрофен	(RS)-fenoprofen
фенотерол	fenoterol
фенофибрат	fenofibrate
Фенспирид	fenspiride
фентанил	fentanyl
Фентермин	phentermine
фентоламин	phentolamine
фенфлурамин	(RS)-fenfluramine
Феохромоцитома	phaeochromocytoma
Ферментопатия	enzymopathy
Ферропатия	iron deficiency
фетальный алкогольный синдром	fetal alcohol syndrome
фетишистский трансвестизм	transvestic fetishism
Фибрилляция желудочков	ventricular fibrillation
фибринолизин	fibrinolysin
Фиброзно-мышечная дисплазия	fibromuscular dysplasia
фибросаркома	fibrosarcoma
Фиброторакс	fibrothorax
фибулярная гемимелия	fibular hemimelia
физическое насилие	physical violence
физостигмин	physostigmine
филграстим	filgrastim
Филлохинон	(E)-phytonadione
финастерид	finasteride
финголимод	fingolimod
Фирмагон	degarelix
Фитоверм	Avermectin
Фитофотодерматит	phytophotodermatitis
Флавоноиды	flavonoid
флибансерин	flibanserin
флороглюцин	phloroglucinol
Флотирующие переломы рёбер	flail chest
флувоксамин	fluvoxamine
Флударабин	fludarabine phosphate
флудрокортизон	fludrocortisone
флуконазол	fluconazole
флумазенил	flumazenil
флунитразепам	flunitrazepam
флуоксетин	fluoxetine
флуоресцеин	fluorescein
флуоцинолона ацетонид	fluocinolone acetonide
флупиртин	flupirtine
флурбипрофен	(±)-flurbiprofen
Флуспирилен	fluspirilene
флутамид	flutamide
флутиказон	fluticasone
флуфеназин	fluphenazine
фозиноприл	fosinopril
Фокально-сегментарный гломерулосклероз	focal segmental glomerulosclerosis
Фолатная недостаточность	folate deficiency
фолиевая кислота	folic acid
Фолликулит	folliculitis
Фолликулярная лимфома	follicular lymphoma
Фолликулярный рак щитовидной железы	follicular thyroid cancer
фондапаринукс	fondaparinux
формотерол	formoterol
фосампреновир	fosamprenavir
фоскарнет	foscarnet
Фостаматиниб	fostamatinib
фосфакол	paraoxon
фосфат алюминия	aluminium phosphate
Фосфомицин	fosfomycin
Фотемустин	fotemustine
фотодерматит	photodermatitis
Фотодерматоз	photodermatosis
Фотостарение	photoaging
Фрамицетин	framycetin
фригофобия	frigophobia
фроттеризм	frotteurism
фруктоза	keto-D-fructose
Фталазол	phthalylsulfathiazole
Фтизис глазного яблока	phthisis bulbi
Фтордезоксиглюкоза	fludeoxyglucose (18F)
фторид натрия	sodium fluoride
фторурацил	fluorouracil
фторхинолоны	quinolone antibiotic
Фузафунгин	fusafungine
Фузидовая кислота	fusidic acid
Фулвестрант	fulvestrant
фумаровая кислота	fumaric acid
фуразолидон	furazolidone
фуросемид	furosemide
фурункул	boil
Хантавирусный кардиопульмональный синдром	hantavirus pulmonary syndrome
хеликобактериоз	Helicobacter pylori infectious disease
хенодезоксихолевая кислота	chenodiol
Хилоторакс	chylothorax
Хилурия	Chyluria
химическая пневмония	chemical pneumonitis
химический ожог	chemical burn
химотрипсин	chymotrypsin
хинидин	quinidine
хинин	quinine
Хифенадин	quifenadine
хламидиоз	chlamydia infection
Хлоазма	melasma
хлоральгидрат	chloral hydrate
хлорамбуцил	chlorambucil
хлорамфеникол	chloramphenicol
хлоргексидин	chlorhexidine
хлордиазепоксид	chlordiazepoxide
хлорид алюминия	aluminum chloride
хлорид аммония	ammonium chloride
хлорид деквалиния	dequalinium chloride
хлорид калия	potassium chloride
хлорид кальция	calcium chloride
хлорид магния	magnesium chloride
хлорид натрия	sodium chloride
хлорид цинка	zinc chloride
хлорит натрия	sodium chlorite
Хлоропирамин	chloropyramine
хлороформ	chloroform
Хлорофос	metrifonate
хлорохин	chloroquine
Хлорпрокаин	chloroprocaine
хлорпромазин	chlorpromazine
хлорталидон	chlorthalidone
Хлортетрациклин	chlortetracycline
хлорфенамин	chlorpheniramine
Хлорхинальдол	chlorquinaldol
хлорэтан	chloroethane
Хлыстовая травма	whiplash injuries
холевая кислота	cholic acid
холекальциферол	cholecalciferol
Холецистокинин	cholecystokinin
Холина салицилат	choline salicylate
холинолитические средства	anticholinergic
холинэстераза	cholinesterase
Холодовая аллергия	cold urticaria
Хондробластома	chondroblastoma
Хондроитина сульфат	chondroitin sulfate
Хондрома	chondroma
Хореоатетоз	Choreoathetosis
хорея	choreatic disease
Хориоидпапиллома	choroid plexus papilloma
Хорионический гонадотропин	chorionic gonadotropin
храп	snoring
хроническая боль	chronic pain
хроническая кишечно-сосудистая недостаточность	chronic intestinal vascular insufficiency
хроническая недифференцированная шизофрения	chronic undifferentiated schizophrenia
хроническая обструктивная болезнь лёгких	chronic obstructive pulmonary disease
хроническая травматическая энцефалопатия	chronic traumatic encephalopathy
Хроническая цереброспинальная венозная недостаточность	chronic cerebrospinal venous insufficiency
Хронический бактериальный простатит	chronic bacterial prostatitis
Хронический бронхит	chronic bronchitis
хронический галлюцинаторный психоз	chronic hallucinatory psychosis
хронический гастрит	chronic gastritis
хронический лимфолейкоз	chronic lymphocytic leukemia
хронический миелобластный лейкоз	chronic myeloid leukemia
Хронический панкреатит	chronic pancreatitis
Хронический тонзиллит	chronic tonsillitis
хронический эндометрит	chronic endometritis
хроническое респираторное заболевание	chronic respiratory disease
целекоксиб	celecoxib
Ценегермин	cenegermin
Центральная серозная ретинопатия	central serous retinopathy
центральный несахарный диабет	central diabetes insipidus
Ценуроз	Coenurosis
Цератония	Ceratonia
Церварикс	Cervarix
церебральный атеросклероз	cerebral atherosclerosis
цереброваскулярные болезни	cerebrovascular disease
Церкариоз	cercarial dermatitis
цертолизумаб пегол	certolizumab pegol
цетиризин	cetirizine
Цетуксимаб	cetuximab
цефазолин	cefazolin
цефалексин	cephalexin
цефалоспорины	cephalosporin antibiotic
цефдинир	cefdinir
Цефепим	cefepime
Цефокситин	cefoxitin
цефотаксим	cefotaxime
Цефпирамид	cefpiramide
Цефпиром	cefpirome
цефтазидим	ceftazidime
Цефтазидим/Авибактам	ceftazidime/avibactam
Цефтаролин	ceftaroline fosamil
цефтриаксон	ceftriaxone
цефуроксим	cefuroxime
цианамид кальция	calcium cyanamide
цианокобаламин	cyanocobalamin
цизаприд	cisapride
циклесонид	ciclesonide
циклизин	cyclizine
циклобарбитал	cyclobarbital
Циклобензаприн	cyclobenzaprine
циклоидный психоз	cycloid psychosis
Циклопентолат	cyclopentolate-(RS)
циклопирокс	ciclopirox
Циклопия	cyclopia
Циклосерин	cycloserine
Циклосиликат циркония-натрия	sodium zirconium cyclosilicate
Циклоспорин	cyclosporine
циклофосфамид	(RS)-cyclophosphamide
цилиндрома	cylindroma
циметидин	cimetidine
Цинга	scurvy
цинеол	eucalyptol
цинк пиритион	pyrithione zinc
Циннаризин	cinnarizine
циперметрин	cypermethrin
ципрогептадин	cyproheptadine
ципрофлоксацин	ciprofloxacin
цисплатин	cisplatin
Цистицеркоз	cysticercosis
циталопрам	(RS)-citalopram
цитарабин	cytarabine
цитизин	cytisine
Цитиколин	citicoline
цитомегаловирусная инфекция	cytomegaloviral disease
цитомегаловирусный ретинит	cytomegalovirus retinitis
цитрат калия	tripotassium citrate
Цитрат кальция	calcium citrate
цитрат магния	magnesium citrate
цитраты аммония-железа	ammonium ferric citrate
черепно-мозговая травма	traumatic brain injury
черноводная лихорадка	blackwater fever
Чёрный язык (заболевание)	hairy tongue
Чесотка	scabies
Четвертичные аммонийные соединения	quaternary ammonium cation
Чикунгунья	chikungunya
чистящее средство	cleaning product
чрезмерная рвота беременных	hyperemesis gravidarum
чувствительность к глютенам	non-celiac gluten sensitivity
чума	plague
шеечная беременность	cervical pregnancy
шизоидное расстройство личности	schizoid personality disorder
шизофазия	schizophasia
шизофреническая реакция	schizophrenic reaction
шизофрения	schizophrenia
шизофреноподобное расстройство	schizophrenia-like disorder
шизофреноформное расстройство	schizophreniform disorder
шипица	corn
шистосомоз	schistosomiasis
шок	shock
шумовое загрязнение	noise pollution
эбастин	ebastine
Эбермин	silver sulfadiazine
эверолимус	everolimus
эволокумаб	evolocumab
Эгодистоническая половая ориентация	ego-dystonic sexual orientation
Эзетимиб	ezetimibe
эзомепразол	esomeprazole
Эзофория	Esophoria
Экзантема	exanthem
экзема	eczema
Экзокринная недостаточность поджелудочной железы	exocrine pancreatic insufficiency
Экзофория	Exophoria
эклампсия	eclampsia
эксагамглоген аутотемцел	exagamglogene autotemcel
эксенатид	exenatide
Экстрамаммарная болезнь Педжета	extramammary Paget's disease
Экстрофия мочевого пузыря	bladder exstrophy
эктопаразитизм	ectoparasitism
Эктопия сердца	ectopia cordis
Эктопия шейки матки	cervix erosion
Эктродактилия	ectrodactyly
эктромелия	ectromelia
экулизумаб	eculizumab
элвитегравир	elvitegravir
Элвитегравир/кобицистат/эмтрицитабин/тенофовир	elvitegravir/cobicistat/emtricitabine/tenofovir disoproxil
элективный мутизм	elective mutism
электролитный дисбаланс	electrolyte imbalance
электромеханическая диссоциация	pulseless electrical activity
элиглустат	eliglustat
Элосульфаза альфа	elosulfase alfa
Элотузумаб	elotuzumab
эмболия	embolism
Эмболия околоплодными водами	amniotic fluid embolism
эмбриотомия	embryotomy
эметин	emetine
Эмоллиент	moisturizer
эмоционально неустойчивое расстройство личности	emotionally unstable personality disorder
эмоциональное выгорание	occupational burnout
эмпаглифлозин	empagliflozin
эмпиема	empyema
Эмтрицитабин	emtricitabine
эмфизема лёгких	pulmonary emphysema
эналаприл	enalapril
Энантема	enanthem
эндемичный тиф	endemic typhus
эндогенная депрессия	endogenous depression
эндокардит	endocarditis
эндометриоз	endometriosis
эндометрит	endometritis
Эндофтальмит	endophthalmitis
Энисамия йодид	enisamium iodide
энкопрез	encopresis
энтерит	enteritis
энтероколит	enterocolitis
Энтероптоз	visceroptosis
Энтропион	entropion
Энфлуран	enflurane
Энфувиртид	enfuvirtide
энцефалит	encephalitis
Энцефалит Расмуссена	Rasmussen's encephalitis
Энцефалит Сент-Луис	St. Louis encephalitis
энцефаломиелит	encephalomyelitis
Энцефалотригеминальный ангиоматоз	Sturge–Weber syndrome
энцефалоцеле	encephalocele
эозин	eosin
эозинофилия	eosinopenia
эпендимома	ependymoma
Эпидемический сыпной тиф	epidemic typhus
Эпидермоидная киста	epidermoid cyst
эпидуральная гематома	epidural cranial hematoma
эпилептический припадок	seizure
эпилептический статус	status epilepticus
Эпиретинальная мембрана	epiretinal membrane
эпирубицин	epirubicin
Эписклерит	episcleritis
эписпадия	epispadias
Эпоксиды	epoxide
эптифибатид	eptifibatide
эпулис	epulis
эргокальциферол	ergocalciferol
эргометрин	ergometrine
эрготамин	ergotamine
эрготизм	ergotism
Эрдостеин	erdosteine
эректильная дисфункция	erectile dysfunction
эритема	erythema
эритема мигрирующая хроническая	erythema chronicum migrans
эритромицин	erythromycin
Эритроплакия	erythroplakia
эритроциты	red blood cell
Эсзопиклон	eszopiclone
эскетамин	esketamine
Эссенциальная фруктозурия	essential fructosuria
эстрадиол	17β-estradiol
Эстрамустин	estramustine
Эстриол	estriol
эстрон	estrone
эсциталопрам	escitalopram
этакриновая кислота	ethacrynic acid
Этамбутол	ethambutol
Этамзилат	ethamsylate
этанерцепт	etanercept
этанол	ethanol
Этафедрин	etilefrine
Этеплирсен	eteplirsen
Этил лофлазепат	ethyl loflazepate
этилморфин	ethylmorphine
этинилэстрадиол	ethinylestradiol
Этионамид	ethionamide
Этифоксин	etifoxine
Этихлорвинол	ethchlorvynol
этодолак	(RS)-etodolac
этомидат	etomidate
этопозид	etoposide
Этосуксимид	ethosuximide
Этотоин	ethotoin
этравирин	etravirine
эуфиллин	aminophylline
эфавиренз	efavirenz
эхолалия	echolalia
ядерная война	nuclear warfare
язва	ulcer
Язва Маржолена	Marjolin's ulcer
язва полости рта	mouth ulcer
яичниковая беременность	ovarian pregnancy
ящур	foot-and-mouth disease
