EN	RU	Category
transesophageal echocardiography	чреспищеводная эхокардиография	test
triglyceride blood level	уровень триглицеридов в крови	test
triglycerides	триглицериды	test
triglycerides test	анализ на триглицериды	test
tympanic temperature	ушная температура	test
ultrasound	узи	test
ultrasound	ультразвуковое исследование	test
ultrasound	ультразвуковое обследование	test
ultrasound	ультразвук	test
upper endoscopy	эндоскопия верхних отделов	test
urine sample	анализ мочи	test
urine sample	образец мочи	test
urine test	анализ мочи	test
urine test for protein	анализ мочи на белок	test
urine tests	анализы мочи	test
varicella antibodies	антитела к ветряной оспе	test
vision test	зрительный тест	test
wet diapers	мокрые подгузники	test
white blood cell count	уровень лейкоцитов	test
x-ray	рентген	test
x-ray	рентгеновский снимок	test
x-ray pictures	рентгеновские снимки	test
x-ray test	рентгеновское исследование	test
x-rays	рентгеновские снимки	test
x-rays	рентген	test
